RFID,Driver Name,Driver Number,Driver Kart,Driver Kart CC
E2000017221101191890D6A5,Not Assigned,Not Assigned,Not Assigned,Not Assigned
E2000017221101191890D6A6,Not Assigned,Not Assigned,Not Assigned,Not Assigned
